"index_name","index_date","open_index_value","high_index_value","low_index_value","closing_index_value","points_change","change_percent","volume","turnover_rs_cr","pe_ratio","pb_ratio","div_yield"
"Nifty 50","2024-03-22","21932.20","22180.70","21883.30","22096.75","84.80","0.39","388656439","39023.19","22.81","3.87","1.21"
"Nifty Next 50","2024-03-22","58987.10","59326.25","58644.30","59188.90","270.60","0.46","239966115","10207.54","25.60","4.75","1.24"
"Nifty CPSE","2024-03-22","5640.80","5703.00","5588.50","5660.30","12.75","0.23","212445740","4074.31","12.19","2.38","3.45"
"Nifty50 Value 20","2024-03-22","12095.65","12213.90","12025.50","12173.10","-19.85","-0.16","259581296","16534.26","19.44","3.54","2.20"
"Nifty Midcap Liquid 15","2024-03-22","10713.50","10783.20","10688.25","10764.15","-5.35","-0.05","94829786","3555.23","18.27","3.12","1.08"
"Nifty Shariah 25","2024-03-22","NaN","NaN","NaN","7685.50","-15.18","-0.20","121113972","11826.77","26.47","4.86","1.85"
"India VIX","2024-03-22","12.51","13.05","11.81","12.22","-0.29","-2.34","NaN","NaN","NaN","NaN","NaN"
"Nifty Growth Sectors 15","2024-03-22","10814.60","10948.35","10769.80","10914.60","9.20","0.08","108828315","12710.56","33.02","8.36","1.79"
"Nifty50 TR 1x Inverse","2024-03-22","184.40","184.80","182.35","183.05","-0.65","-0.35","NaN","NaN","NaN","NaN","NaN"
"Nifty50 TR 2x Leverage","2024-03-22","17004.80","17389.00","16930.05","17260.95","128.80","0.75","NaN","NaN","NaN","NaN","NaN"
"Nifty50 PR 1x Inverse","2024-03-22","220.35","220.85","217.90","218.70","-0.80","-0.36","NaN","NaN","NaN","NaN","NaN"
"Nifty 100","2024-03-22","22476.70","22709.35","22414.50","22633.80","94.90","0.42","630024734","49320.98","23.48","4.04","1.19"
"Nifty 200","2024-03-22","12084.35","12204.85","12050.50","12168.75","54.25","0.45","1921544340","67660.17","23.64","4.00","1.15"
"Nifty 500","2024-03-22","19855.00","20048.60","19806.70","19994.60","97.20","0.49","2601583232","82714.83","24.25","4.02","1.11"
"Nifty Midcap 50","2024-03-22","13262.80","13357.75","13210.90","13329.95","24.55","0.18","699267974","9603.95","20.40","3.62","1.17"
"NIFTY Midcap 100","2024-03-22","46986.25","47371.00","46843.50","47312.85","279.30","0.59","1291519606","18339.19","24.53","3.79","0.88"
"NIFTY Smallcap 100","2024-03-22","14955.65","15092.95","14918.35","15056.75","96.45","0.64","331447979","7266.15","27.74","3.71","0.78"
"Nifty50 Dividend Points","2024-03-22","NaN","NaN","NaN","220.59","0.00","NaN","NaN","NaN","NaN","NaN","NaN"
